Username,Section #'s Text Grade <Text>,Exam 1,Exam 2,Exam 3,End-of-Line Indicator
,003F,87,61,71,#
,003G,68,80,69,#
,005B,37.5,26,39,#
,005F,92,74,90,#
,005H,59,36,48,#
,003F,68,60,61,#
,005A,50.5,65,77,#
,003B,86,66,74,#
,005J,82,32,57,#
,003K,79,53,45,#
,003I,95,72,52,#
,003E,65.5,76,48,#
,005I,75,58,53,#
,005H,43.5,36,32,#
,005C,96,87,79,#
,003H,67,81,47,#
,005B,31,40,16,#
,005E,54.5,37,45,#
,003A,97,70,50,#
,003D,66.5,60,48,#
,005I,65.5,48,49,#
,005K,71,76,47,#
,005F,55.5,69,32,#
,003B,60.5,62,62,#
,005E,45.5,62,56,#
,005J,38,57,53,#
,005I,52.5,45,35,#
,005B,91,58,85,#
,003K,86,79,92,#
,003F,69,62,41,#
,003D,77.5,60,61,#
,003G,72,67,47,#
,005C,88.5,78,71,#
,005B,81,94,70,#
,003E,75,62,44,#
,003H,49,55,31,#
,003K,81,68,69,#
,003I,49,57,59,#
,005A,50,67,64,#
,005E,44.5,34,36,#
,005F,37,43,57,#
,003B,74.5,32,26,#
,005I,64.5,68,52,#
,005I,58,69,47,#
,003D,63.5,38,24,#
,003H,72,44,60,#
,,66,56,47,#
,003F,49.5,37,36,#
,005B,92,97,81,#
,003H,75,48,43,#
,005F,92,51,77,#
,003H,58,55,,#
,003G,90,67,62,#
,005J,80,80,50,#
,005C,84,78,79,#
,003H,63,42,36,#
,003G,86,52,64,#
,003K,78,60,39,#
,005J,65,58,73,#
,003A,85.5,59,56,#
,003L,86.5,58,61,#
,005J,36,39,45,#
,005A,39,24,22,#
,005B,59,46,28,#
,005E,91,50,50,#
,005A,52,39,38,#
,005B,78,74,53,#
,003K,68.5,55,69,#
,005I,66,83,60,#
,005A,49,34,20,#
,005D,50,65,51,#
,005D,60,25,55,#
,003A,73,67,44,#
,003F,55.5,50,33,#
,003I,63,70,78,#
,005A,88,79,63,#
,003L,40.5,63,69,#
,005F,94,70,79,#
,003F,37,43,30,#
,005I,66,53,37,#
,005K,81.5,65,49,#
,003L,34.5,56,36,#
,005K,73,40,54,#
,003G,77,71,44,#
,005C,71.5,37,36,#
,005K,74,62,39,#
,003C,65,30,55,#
,003H,69,56,56,#
,003D,55,44,50,#
,003H,79,48,61,#
,005H,79.5,45,44,#
,003C,52,48,58,#
,003H,96,85,89,#
,003D,82,81,76,#
,003E,55.5,60,76,#
,003E,52.5,54,45,#
,003E,53.5,31,41,#
,003G,46,37,33,#
,005F,31,70,39,#
,003B,62,67,62,#
,003B,48.5,53,65,#
,003I,79,70,84,#
,005K,83,70,52,#
,003A,70,54,48,#
,005J,84,44,71,#
,005B,81,67,58,#
,003G,78,60,37,#
,003C,42,71,77,#
,003F,63,60,33,#
,005K,53.5,53,41,#
,005H,59,59,42,#
,003C,64,55,28,#
,005K,84,64,64,#
,003K,48,55,44,#
,003A,96,77,84,#
,003A,98,84,92,#
,005E,79,77,56,#
,005J,44.5,47,49,#
,003E,82,83,84,#
,003C,68,53,51,#
,003H,81,90,54,#
,005A,29,21,36,#
,003G,38.5,23,44,#
,005D,29.5,18,44,#
,003C,70,52,54,#
,005I,89,78,55,#
,005D,56,28,35,#
,005H,86,60,64,#
,003E,67,62,58,#
,003F,85,73,78,#
,003G,68,56,52,#
,003F,66,50,49,#
,005B,49.5,55,52,#
,003B,63,31,56,#
,005A,86,76,67,#
,003A,58.5,57,34,#
,005K,37.5,32,57,#
,005I,82,73,40,#
,003B,86,64,64,#
,005C,87,56,73,#
,005E,51,49,67,#
,003K,95,77,88,#
,005H,82,42,58,#
,005C,42,50,43,#
,005E,34.5,46,43,#
,005C,67,,,#
,005F,48,39,45,#
,005J,59.5,69,71,#
,003H,60,49,36,#
,005F,75,65,57,#
,005J,56,57,37,#
,003F,62,41,44,#
,003L,40.5,44,58,#
,003G,40.5,35,32,#
,005E,68,58,78,#
,005C,65.5,42,47,#
,005H,65,73,66,#
,003I,84,67,72,#
,003H,35.5,46,33,#
,005E,57,36,,#
,005A,88.5,73,65,#
,003G,45.5,57,33,#
,003B,88,73,45,#
,005D,30.5,56,45,#
,005D,60,67,43,#
,005J,46,64,51,#
,005K,74,72,48,#
,003G,76,71,76,#
,003A,70,48,64,#
,003D,60,46,59,#
,005C,49,54,33,#
