Username,SECTION #'S Text Grade <Text>,PRELAB,PROJECT REPORTS,PROJECT PROPOSALS,ORAL PRESENTATION,INSTRUCTOR LAB PERFORMANCE EVALUATION,Calculated Final Grade,End-of-Line Indicator
,001F,15.83333333,32.40333333,13.03125,8.771,11.18,83.21883334,#
,006F,13.75,29.47333333,10.125,9.02,11.44,75.80825001,#
,004G,16.25,32,13.3125,8.3,11.96,83.69741668,#
,006F,17.5,30.97333333,10.875,9,11.7,82.04825001,#
,003G,15.625,34.33333333,14.390625,9.3,12.22,87.78554168,#
,004G,20,28.83333333,14.8125,8.5,12.74,86.84408334,#
,004K,15.625,31.5,12.703125,8.9,11.44,82.08470834,#
,002J,16.25,22.08333333,12.84375,8.9,10.14,72.05033334,#
,001F,19.79166667,31.94666667,13.03125,8.033,11.18,85.94083334,#
,001H,15.83333333,34,14.25,8.3,11.96,86.34325001,#
,003G,18.75,35.75,13.21875,9.8,12.48,91.99866668,#
,003H,12.91666667,34.33333333,11.8125,9.25,12.935,83.20575001,#
,002J,17.08333333,32,10.875,9.1,11.44,82.49825001,#
,004J,19.58333333,31.53333333,13.78125,8.92,11.44,87.25783334,#
,003G,17.70833333,28.41666667,12.796875,9.1,12.22,82.24179168,#
,001F,17.08333333,31.14,12.234375,9.484,11.57,83.51162501,#
,003H,17.29166667,36.33333333,14.25,9.1,12.805,91.69658334,#
,003L,11.25,36.66666667,12.09375,9.4,12.61,83.85366668,#
,006G,15.625,37.33333333,13.5,9.5,11.96,89.87658334,#
,003I,16.875,32.66666667,13.5,9.5,11.7,86.11658334,#
,004G,14.79166667,28.33333333,14.25,8.5,12.74,80.61491668,#
,004J,15,27.83666667,11.34375,8.4,11.18,75.67700001,#
,007I,16.66666667,34,13.6875,9,11.96,87.31408334,#
,004J,14.79166667,30.54333333,12.9375,9.05,12.48,81.80241668,#
,004G,18.95833333,38.83333333,14.4375,8.5,11.7,94.42908334,#
,004H,16.45833333,32.75,12.9375,7.8,11.3555,83.25958334,#
,001H,14.375,31.33333333,13.3125,8.7,10.66,80.38075001,#
,004J,17.70833333,24.94,12.328125,8.3,12.22,77.41304168,#
,004I,19.375,27.83333333,12.796875,7.75,10.66,80.41512501,#
,001E,14.16666667,35.33333333,13.125,9.5,12.48,86.60491668,#
,002I,18.33333333,27.63333333,13.96875,8.5,10.4,80.75200001,#
,001F,16.45833333,30.64,12.65625,9.276,11.44,82.47050001,#
,002I,18.54166667,37.4,14.53125,9.3,11.44,93.21283334,#
,002J,15.20833333,33.91666667,12.28125,9.1,11.96,84.46616668,#
,002J,12.29166667,26.16666667,12.75,9.1,10.92,73.22825001,#
,001H,17.08333333,31.33333333,13.5,8.1,11.44,83.45658334,#
,003L,19.16666667,35.16666667,12.9375,9.8,11.96,91.03075001,#
,003I,13.33333333,28.16666667,9.75,8.7,10.4,71.68325001,#
,006F,1.041666667,0,2.34375,0,2.08,6.798666677,#
,004H,11.66666667,33.33333333,12.1875,8.06,10.9525,78.19991668,#
,006G,15.625,34.16666667,13.59375,9,13,87.38533334,#
,004K,18.75,33.41666667,12.984375,8.9,10.92,86.97095834,#
,006G,17.29166667,29.5,10.5,9.2,11.7,80.14991668,#
,003H,19.16666667,33.16666667,13.21875,8.2,12.675,88.42700001,#
,004I,17.91666667,32.83333333,13.21875,8.25,10.92,85.13866668,#
,003I,18.33333333,36.33333333,13.875,9.5,13,93.04158334,#
,004K,14.79166667,34.75,13.640625,9.55,11.44,86.17220834,#
,003G,19.375,37.5,14.625,9.8,12.22,95.47825001,#
,004I,19.16666667,31.83333333,13.875,9.81,9.88,86.56491668,#
,001E,15.41666667,33.63333333,13.078125,8.5,12.48,85.10804168,#
,004H,19.375,31.76666667,12.515625,8.38,10.452,84.48920834,#
,003L,18.95833333,35,13.921875,9.95,12.09,91.79512501,#
,003I,17.70833333,35.66666667,13.875,9.5,13,91.62491668,#
,002I,15.83333333,35.16666667,13.125,7.87,11.18,85.13325001,#
,006G,18.125,31,11.625,9.2,11.96,83.90991668,#
,004J,19.58333333,31.24666667,13.6875,8.5,12.22,87.19575001,#
,006F,19.79166667,33.5,12.328125,9.5,11.765,88.88470834,#
,001F,12.5,33.89333333,13.3125,9.3,12.09,83.09575001,#
,004I,17.5,32.83333333,13.40625,8.3,10.4,84.43950001,#
,005H,19.29166667,35.83333333,13.5,9,12.168,91.75125001,#
,002J,19.79166667,34.66666667,13.546875,8.9,11.7,90.60512501,#
,004G,18.54166667,37.33333333,12.75,8.3,13,91.92491668,#
,003G,16.25,35.41666667,12.890625,9.3,12.22,87.99387501,#
,003L,19.16666667,34.66666667,13.828125,9.95,13,92.61137501,#
,006G,19.375,37.16666667,13.6875,9.5,13,94.72908334,#
,003G,18.95833333,35.5,13.96875,9.8,12.22,92.44700001,#
,005H,16.25,33.83333333,13.125,8.7,12.116,86.02425001,#
,003I,16.875,28.5,12.9375,8.9,12.22,81.34908334,#
,004H,18.33333333,31.76666667,13.78125,7.79,11.726,85.39716668,#
,001H,15.41666667,32.66666667,13.125,8.1,11.18,82.48825001,#
,001H,12.91666667,33.33333333,13.3125,8.1,11.7,81.32075001,#
,003G,18.95833333,33.5,13.453125,9.1,12.22,89.23137501,#
,006H,12.70833333,33.75,12.65625,7.18,11.7,79.95283334,#
,003H,19.375,37.83333333,14.53125,9.1,12.935,95.77450001,#
,004I,19.16666667,35.5,12.75,8.25,12.74,90.40658334,#
,001F,19.375,34.72666667,12.796875,9.3,11.96,90.15845834,#
,001H,17.29166667,31.33333333,13.125,8.3,11.18,83.22991668,#
,006G,18.125,37.5,12.65625,9.5,12.22,92.00116668,#
,004G,20,37.66666667,13.96875,8.4,12.22,94.25533334,#
,004H,18.33333333,36.5,13.828125,8.61,11.843,91.07270834,#
,003I,18.125,29.33333333,8.8125,8.9,10.66,77.74741668,#
,006H,15.20833333,32.5,12.046875,7.94,11.7,81.39512501,#
,006G,18.33333333,38.16666667,14.71875,9.5,12.74,95.45866668,#
,001E,18.33333333,36.33333333,13.265625,9,12.428,91.36020834,#
,003L,15.83333333,32.16666667,13.21875,9.5,12.74,85.33366668,#
,006F,18.33333333,28.86,11.15625,9.5,11.57,81.41950001,#
,006F,18.125,32.61,11.109375,9,11.7,84.50262501,#
,005H,19.58333333,33.33333333,13.03125,8,12.038,87.98583334,#
,005H,13.83333333,24.66666667,12,8.7,12.168,73.20125001,#
,006H,17.70833333,35.33333333,13.453125,7.94,11.7,88.13470834,#
,006H,16.66666667,34,12.5625,7.1,11.7,84.02908334,#
,001H,19.16666667,34.33333333,13.3125,8.5,11.7,89.01241668,#
,004I,19.16666667,35.5,13.3125,8.25,11.18,89.40908334,#
,002I,18.54166667,37.66666667,14.25,8.6,10.92,91.97825001,#
,003L,16.66666667,36,13.6875,9.45,11.83,89.59241668,#
,004H,18.125,31.33333333,13.453125,7.92,11.856,84.64570834,#
,004G,17.08333333,33.33333333,13.96875,8.5,12.74,87.62533334,#
,001H,18.125,35.33333333,13.6875,8.3,10.14,87.58575001,#
,003L,17.29166667,33.83333333,13.03125,9.45,11.83,87.43616668,#
,001H,19.16666667,34.66666667,13.125,8.5,12.22,89.63658334,#
,002I,20,39.5,14.53125,9.15,12.22,97.40116668,#
,004K,15.41666667,35.08333333,13.875,9.4,10.92,86.61158334,#
,002J,13.125,30.66666667,12.140625,9,10.4,77.24887501,#
,006H,17.91666667,32.83333333,12.046875,7.79,10.92,83.46512501,#
,004H,18.95833333,36.5,14.109375,9.6,11.9015,93.02745834,#
,003L,17.08333333,36.33333333,11.109375,9.95,11.83,88.22262501,#
,003F,15.41666667,32.33333333,10.6875,9.6,13,82.78741668,#
,006H,18.75,31.58333333,12.234375,7.85,11.96,84.37762501,#
,002J,20,33.5,13.453125,8.9,11.18,89.03304168,#
,006F,16.25,28.80666667,9.890625,9.02,11.7,77.62554168,#
,003L,10.41666667,33.66666667,8.53125,9.4,11.96,75.89116668,#
,003H,18.75,33.5,13.125,8.3,12.935,88.60991668,#
,006G,14.375,37.16666667,13.03125,9.5,13,89.07283334,#
,003L,17.91666667,35,12.75,9.8,11.96,89.42658334,#
,004K,14.79166667,35.91666667,15,9.4,12.22,89.32825001,#
,003H,8.75,29.33333333,13.40625,8.05,12.935,74.30783334,#
,007I,19.16666667,37.16666667,13.875,9,13,94.16658334,#
,006F,16.25,28.5,9.375,9.5,11.57,77.15325001,#
,006G,16.45833333,35.5,11.15625,9.2,12.09,86.40450001,#
,001H,19.16666667,32.66666667,12.9375,8.8,11.44,87.01075001,#
,002I,17.5,34.16666667,12,8.55,9.49,83.62325001,#
,003H,13.95833333,26.16666667,13.59375,8.05,12.935,76.70366668,#
,001E,15.41666667,29.16666667,10.03125,8.5,12.48,77.59450001,#
,005H,20,34.5,13.3125,9,12.168,90.98041668,#
,006H,16.45833333,33.5,14.0625,8.28,11.7,85.95908334,#
,001E,12.91666667,29.16666667,11.765625,5.3,11.44,72.54720834,#
,004K,19.79166667,37.25,14.859375,9.4,12.48,95.78095834,#
,003F,16.875,36,15,10,12.48,92.35491668,#
,002J,9.583333333,22.25,11.953125,7.9,10.53,64.04970834,#
,006F,17.70833333,31.08333333,13.59375,9.3,11.44,85.12533334,#
,006G,19.79166667,38.16666667,14.4375,9.5,12.22,96.07408334,#
,001E,14.79166667,32.33333333,13.078125,9.5,11.96,83.66304168,#
,004I,19.58333333,34.83333333,13.3125,8.65,11.18,89.51741668,#
,001E,19.79166667,34.66666667,13.3125,9.5,12.48,91.75075001,#
,003L,18.125,33.16666667,13.453125,9.95,12.09,88.78470834,#
,001E,19.375,32.33333333,12.65625,8.17,11.96,86.45283334,#
,006H,14.79166667,30.5,12.75,8.13,11.44,79.52825001,#
,003H,19.375,39.5,14.53125,9.1,12.675,97.13950001,#
,002J,19.16666667,33.83333333,13.59375,9.1,12.48,90.17366668,#
,001F,18.125,33.22333333,12.28125,9.484,12.22,87.25016668,#
,007I,15.625,37.16666667,13.78125,9,12.74,90.27116668,#
,003F,10.83333333,25.66666667,10.6875,9.6,13,71.78741668,#
,002I,15,33.6,10.5,7.96,9.1,78.15991668,#
,007I,19.58333333,37,13.875,8.5,11.7,92.65825001,#
,003H,15.41666667,33.16666667,12.65625,8.2,12.935,84.29116668,#
,006H,13.95833333,34.5,12.84375,7.21,11.7,82.21200001,#
,003I,2.708333333,26.66666667,9,7.4,10.66,58.43491668,#
,005H,14.875,34.83333333,12.375,8.7,12.116,84.89925001,#
,004G,15.20833333,36,12.9375,8.8,13,87.94575001,#
,003F,19.58333333,33.66666667,14.4375,9.5,13,92.14575001,#
,003G,19.375,37.16666667,13.921875,9.3,10.14,91.90345834,#
,002J,19.79166667,33.41666667,13.921875,9.4,12.74,91.22845834,#
,004I,11.875,33.83333333,13.21875,8.85,11.18,80.95700001,#
,005H,14.66666667,28.5,12.5625,8,11.986,77.59008334,#
,003F,17.5,35.33333333,14.79375,9.5,13,92.12700001,#
,006F,17.91666667,34.91666667,13.078125,9.36,11.83,89.10137501,#
,002J,19.16666667,34.25,13.5,8.9,12.22,89.99491668,#
,003I,17.5,36.33333333,13.6875,9.8,12.74,92.06075001,#
,004K,19.58333333,34.33333333,13.59375,8.75,10.4,88.66033334,#
,005H,19.79166667,34,13.3125,9,12.168,90.23041668,#
,003H,13.95833333,34.16666667,14.34375,9.1,12.805,86.33200001,#
,004I,13.54166667,34.83333333,13.78125,8.4,11.7,84.17283334,#
,006G,11.66666667,29.83333333,11.0625,9.3,11.57,75.09908334,#
,006G,18.33333333,33.16666667,12.5625,9.3,11.05,86.41241668,#
,006H,16.66666667,34.91666667,12.421875,7.94,11.44,85.38512501,#
,001E,19.16666667,34.66666667,13.734375,8.5,12.22,90.24595834,#
,002I,18.54166667,36.23333333,14.15625,8.5,10.53,89.96116668,#
,004I,15.83333333,26.16666667,11.8125,8.45,9.88,74.14241668,#
,004I,19.375,35.83333333,14.34375,8.3,10.14,89.99200001,#
,004I,18.95833333,36.16666667,13.875,9.95,12.22,93.16991668,#
,002I,17.29166667,37.83333333,14.25,8.6,10.92,90.89491668,#
,007I,19.16666667,38.33333333,14.625,9,12.48,95.60491668,#
,002I,18.125,37.9,12.9375,9,12.22,92.18241668,#
,001F,17.70833333,31.91666667,12.984375,9.48,12.35,86.43929168,#
,003F,19.375,34,15,9.6,13,92.93325001,#
,001H,10,31,13.5,8.5,11.18,76.17991668,#
,004H,19.16666667,35.5,13.453125,8.74,11.804,90.66370834,#
,006F,19.375,34.33333333,13.171875,9.29,11.7,89.87012501,#
,006H,15.625,32.91666667,11.578125,7.79,10.92,80.82970834,#
,001H,16.04166667,34.33333333,13.21875,8.5,12.22,86.27200001,#
,003G,15.41666667,32.91666667,13.171875,9.3,12.22,85.02512501,#
,006F,17.08333333,30.41666667,12.46875,9.36,11.7,83.02866668,#
,004G,17.29166667,36.66666667,14.0625,8.3,12.48,90.80075001,#
,003H,15.625,32.33333333,13.21875,8.2,12.805,84.18200001,#
,006G,12.70833333,32.16666667,10.3125,9,11.83,77.85075001,#
,001E,16.66666667,33.16666667,13.125,9,12.09,86.04825001,#
,003I,16.25,33.33333333,13.3125,8.5,11.96,85.31408334,#
,006F,17.70833333,34.75,13.359375,9.4,11.7,88.91762501,#
,001H,13.75,36.66666667,13.875,8.3,12.22,86.81158334,#
,006H,15.625,32.41666667,13.6875,8.28,11.7,83.70908334,#
,001F,13.95833333,34.78,14.015625,9.266,12.22,86.15654168,#
,001E,17.91666667,33.78333333,12.1125,9.5,12.298,87.56875001,#
,003H,17.70833333,36.83333333,12.75,9.25,12.675,91.21658334,#
,003F,18.75,36.66666667,14.34375,9.7,13,94.37700001,#
,003H,18.54166667,32,13.3125,9.25,12.935,88.03908334,#
,001H,8.958333333,33.66666667,11.25,8.8,12.22,76.89491668,#
,003H,3.333333333,7.666666667,6.5625,7.8,10.335,37.69741668,#
,006F,15,28.95666667,11.203125,8.8,11.31,77.26970834,#
,003G,18.75,37.58333333,13.546875,9.3,12.22,93.40012501,#
,003H,13.54166667,28.33333333,14.0625,8.45,12.805,79.19241668,#
,003G,15.41666667,37.58333333,13.921875,9.3,12.22,90.44179168,#
,002J,17.5,33.41666667,13.171875,9.2,11.83,87.11845834,#
,003L,5.416666667,32.83333333,12.09375,9.8,11.96,73.97866668,#
,007I,16.875,38.66666667,13.875,9,13,93.41658334,#
,001E,16.25,32.36666667,14.015625,8.5,11.96,85.05054168,#
,004H,15.83333333,32.83333333,13.3125,7.88,10.725,82.54241668,#
,004I,17.5,27.5,13.875,7.95,10.92,79.70325001,#
,001H,20,35.33333333,14.0625,8.5,11.96,91.85575001,#
,001F,18.54166667,30.86,12,9.48,12.61,85.49158334,#
,003F,18.95833333,34.33333333,14.53125,9.6,13,92.38116668,#
,003I,17.5,33.66666667,13.875,8.9,12.22,88.11991668,#
,001H,18.33333333,36,13.5,8.1,11.96,89.89325001,#
,003L,15.20833333,35.5,13.03125,9.8,11.96,87.49950001,#
,003F,16.66666667,33.33333333,13.875,9.6,13,88.39158334,#
,004I,17.91666667,35,14.0625,9.9,11.44,90.27741668,#
,003L,5,35.08333333,13.875,9.45,11.83,77.23825001,#
,002J,19.16666667,34.33333333,13.3125,9.1,11.7,89.61241668,#
,001F,13.95833333,31.02,14.0625,9.22,11.44,81.61741668,#
,003G,8.333333333,35.41666667,14.015625,8.7,10.14,78.52220834,#
,006H,17.08333333,32.91666667,12.28125,7.31,10.92,82.51116668,#
,002I,16.66666667,36.4,12.5625,8.6,10.66,86.88908334,#
,006F,19.58333333,33.86,12.984375,9.3,11.57,89.29762501,#
,003H,17.70833333,31.33333333,13.40625,8.2,12.935,85.58283334,#
,004H,18.33333333,27.9,12.515625,8.51,10.92,80.17887501,#
,001F,18.33333333,33.94333333,12.65625,9.389,11.83,88.15183334,#
,003H,13.33333333,29.33333333,13.21875,8.45,12.48,78.81533334,#
,006G,16.875,37,13.875,9.5,11.96,91.20991668,#
,005H,19.16666667,30.5,12.75,8.7,12.116,85.23258334,#
,003H,17.08333333,37.16666667,14.53125,8.45,12.675,91.90616668,#
,006H,17.91666667,33.83333333,12.5625,7.46,11.18,84.91075001,#
,001F,18.125,28.76,13.03125,9.266,11.44,82.62216668,#
,001H,18.33333333,37,12.75,8.7,11.96,90.74325001,#
,002J,16.66666667,31.66666667,13.78125,9.1,12.74,85.95450001,#
,001F,19.58333333,37.46333333,14.25,9.266,12.74,95.30258334,#
,004J,18.54166667,32.11,12.65625,8.7,12.22,86.22783334,#
,003G,17.91666667,35.25,12.609375,9.1,12.22,89.05429168,#
,002I,18.125,38.5,14.25,9.3,11.44,93.57325001,#
,003I,16.04166667,35.83333333,13.5,8.9,13,89.27491668,#
,004G,10.41666667,35.66666667,13.40625,8.8,12.74,83.02950001,#
,003G,14.79166667,32.58333333,13.171875,8.45,12.22,83.21679168,#
,004G,19.16666667,37.66666667,13.78125,8.4,12.48,93.49450001,#
,001E,19.375,33.16666667,13.5,9,12.09,89.13158334,#
,003F,17.91666667,35,14.625,9.6,13,92.14158334,#
,001F,8.75,27.89,9.84375,5.639,9.23,63.35266668,#
,005H,15.5,34.5,12.84375,8.2,12.168,85.21166668,#
,004J,18.75,36.48666667,13.828125,8.5,12.74,92.30470834,#
,001H,17.70833333,33.33333333,12.375,8.8,11.44,85.65658334,#
,004J,16.66666667,25.69333333,12.46875,8.83,10.66,76.23533334,#
,004H,19.79166667,34.91666667,12.421875,8.03,11.089,88.24912501,#
,001E,16.04166667,31.7,12.890625,8.5,11.96,83.05054168,#
,007I,17.70833333,34.66666667,13.3125,8.5,12.48,88.66741668,#
,004H,18.95833333,25.9,11.90625,8.43,10.92,78.11450001,#
,002I,17.91666667,36,13.265625,9,10.79,88.93054168,#
,003H,6.458333333,24.66666667,12.84375,8.2,12.805,66.89033334,#
,003G,17.08333333,28.66666667,10.734375,8.45,12.22,78.90429168,#
,006G,5.833333333,26,12.31875,9,11.83,66.94033334,#
,005H,17.70833333,34,12.5625,9.2,12.22,87.69075001,#
,003F,5.625,35.5,14.71875,9.6,13,80.36033334,#
,003G,18.125,36.41666667,13.359375,9.1,12.22,91.22095834,#
,001E,18.95833333,37,13.546875,9,12.22,92.72512501,#
,003F,19.375,35.66666667,13.6875,9.6,13,93.32908334,#
,001E,19.79166667,36.66666667,13.453125,9,11.57,92.48137501,#
,001E,18.75,32.66666667,13.125,9,12.09,87.63158334,#
,006G,17.5,34.33333333,12.75,9.3,11.18,87.06325001,#
,001F,6.458333333,31.25,12.1875,9.48,12.09,73.46575001,#
,005H,18.75,33.5,13.3125,8,11.986,87.42341668,#
,001F,17.08333333,28.94666667,12.9375,8.066,11.7,80.73341668,#
,002J,19.16666667,31.16666667,14.390625,9,12.22,87.94387501,#
,004H,18.95833333,33.76666667,14.015625,9.6,11.752,90.09254168,#
,001E,17.08333333,34.83333333,13.265625,9.5,12.558,89.24020834,#
,003H,17.08333333,31.16666667,13.40625,8.2,12.935,84.79116668,#
,006G,18.95833333,37,12.65625,9.2,11.57,91.30116668,#
,003F,12.5,14,11.90625,7.5,12.48,60.21950001,#
,006G,17.91666667,36.83333333,14.34375,9.5,11.7,92.29366668,#
,003L,9.583333333,22.5,13.5,9.5,12.09,69.08991668,#
,006F,9.791666667,28.71333333,12.140625,9.3,11.31,73.25554168,#
,003G,13.125,31.41666667,11.953125,8.45,12.22,79.16470834,#
,001H,19.16666667,34.33333333,12.9375,8.5,12.22,89.15741668,#
,004G,17.70833333,37,13.21875,8.3,11.7,89.84366668,#
,005H,19.375,36,13.125,9,12.116,91.61591668,#
,004H,13.95833333,28.25,12.28125,8.36,11.1345,75.98400001,#
,003I,18.54166667,34.16666667,13.875,9.5,13,91.08325001,#
,003H,13.95833333,31,13.5,8.2,12.935,81.59325001,#
,003G,17.29166667,34,11.859375,8.45,12.22,85.57095834,#
,002I,14.16666667,29.23333333,11.34375,7.59,10.14,74.47366668,#
,003G,17.70833333,35.91666667,13.453125,9.3,12.22,90.59804168,#
,004G,20,33.33333333,13.125,8.3,10.4,87.15825001,#
,002J,14.79166667,29.5,12,9.1,11.31,78.70158334,#
,007I,12.08333333,34.33333333,9.9375,9,11.7,78.30408334,#
