Username,SECTION #'S Text Grade <Text>,PRELAB,PROJECT REPORTS,PROJECT PROPOSALS,ORAL PRESENTATION,INSTRUCTOR LAB PERFORMANCE EVALUATION,Calculated Final Grade,End-of-Line Indicator
,005F,8.958333333,29.76666667,14.671875,8.08,11.44,74.91679168,#
,005C,16.875,36.16666667,14.25,9.1,12.48,90.78825001,#
,001C,6.458333333,18.33333333,12.9375,8.68,11.44,59.84908334,#
,005B,15.83333333,29.689,12.09375,9.36,12.48,81.45600001,#
,005E,17.91666667,36.69666667,14.53125,9.8,12.87,93.77283334,#
,002H,16.25,32.08666667,13.125,8.08,11.96,83.50158334,#
,005B,15.41666667,34.939,12.375,8.91,11.96,85.60058334,#
,002E,19.79166667,34.83333333,14.25,8.55,10.92,90.21991668,#
,002G,17.91666667,38,12.609375,9.2,12.22,91.94595834,#
,005D,12.91666667,34.5,13.6875,9.2,13,85.22075001,#
,007F,20,34.83333333,14.625,9.05,11.96,92.46833333,#
,005D,10.83333333,29.91666667,11.0625,9,13,75.77075001,#
,007E,19.58333333,31.83333333,10.3125,8.2,13,84.92908334,#
,002H,18.75,37.51666667,15,8,12.48,93.74658334,#
,002E,18.125,32.1,13.125,7.38,10.14,82.86991668,#
,002E,17.5,35.96666667,12.9375,8.79,11.96,89.15408334,#
,001C,12.29166667,36.33333333,13.125,9.4,12.22,85.36991668,#
,002E,17.5,33.63333333,14.34375,8.67,10.4,86.54700001,#
,005F,11.875,27.53333333,13.125,8.01,11.96,74.46158334,#
,006D,18.75,35.33333333,14.484375,9.5,13,93.06762501,#
,002E,18.33333333,34.3,12.1875,8.74,11.31,86.87075001,#
,002E,18.75,34.5,12,9,10.66,86.82658334,#
,002F,14.58333333,29.76333333,11.90625,8.33,12.22,78.71950001,#
,002H,17.29166667,33.79333333,14.25,8.27,12.22,87.74158334,#
,002G,19.79166667,35.83333333,14.15625,9.4,11.18,92.31950001,#
,005C,15,31.33333333,13.6875,8.9,12.87,83.79075001,#
,006E,15.625,31.66666667,12.28125,8.8,12.22,82.59283334,#
,006E,19.375,35,13.6875,8.3,12.22,90.58241668,#
,002F,18.95833333,35,14.8125,8.5,13,92.27075001,#
,003D,14.79166667,34.33333333,13.6875,8.2,11.96,84.97241668,#
,002G,16.66666667,33.26666667,12.75,9,10.92,84.60325001,#
,003D,15.20833333,37.66666667,14.8125,9.5,11.7,90.88741668,#
,003E,8.541666667,30.16666667,8.4375,8.6,10.92,68.66575001,#
,006E,19.58333333,37.33333333,14.0625,8.3,12.48,93.59241668,#
,003E,11.25,29.16666667,11.15625,8.54,10.92,72.94950001,#
,007E,17.5,37.5,14.34375,9.3,12.22,92.82200001,#
,006E,5,14.33333333,12.1875,8.2,11.7,53.33741668,#
,007E,18.125,30.83333333,13.125,8.2,13,85.19991668,#
,003E,18.125,25.16666667,10.6875,8.5,10.4,74.87908334,#
,002G,19.16666667,36.23333333,13.875,9.1,11.44,91.73158334,#
,002H,16.66666667,37.13333333,14.4375,7.76,13,90.87241668,#
,005F,10,21.06666667,12.31875,8.51,11.96,65.85533334,#
,006E,1.666666667,22.66666667,9.1875,7.9,10.92,54.25741668,#
,002H,17.70833333,37,15,8.37,12.22,92.29825001,#
,002H,19.16666667,32.66666667,14.625,10,13,91.45825001,#
,005B,17.29166667,26.32233333,8.625,9.33,11.96,75.48725001,#
,002H,18.125,33.16666667,14.625,8.21,12.74,88.86666667,#
,007E,18.54166667,30.66666667,13.3125,8.2,13,85.63741668,#
,002G,18.125,35.5,13.3125,9,10.92,88.85741668,#
,002F,17.70833333,35.75333333,13.21875,8.04,13,89.72033334,#
,005E,18.33333333,36.25,10.9125,9.8,12.61,89.90575001,#
,003E,18.125,25.75,12.1875,8.5,11.57,78.09075001,#
,007E,17.5,35,13.5,8.7,13,89.69991668,#
,005D,15,30,10.125,8.9,12.22,78.24491668,#
,005D,17.5,30.66666667,11.90625,8.9,11.18,82.15283334,#
,003E,11.45833333,34.33333333,12.46875,8.8,11.7,80.71866668,#
,006D,14.375,32.83333333,13.453125,9.3,10.66,81.95470834,#
,005B,17.29166667,32.18333333,14.015625,7.14,12.74,85.37054168,#
,005C,17.91666667,37.33333333,14.15625,8.9,12.87,93.17616668,#
,007F,16.45833333,29.63333333,12.5625,9.15,12.48,82.1175,#
,005E,7.291666667,16.71666667,12.28125,9.3,10.66,58.16616668,#
,002G,17.29166667,37.33333333,11.859375,9.2,11.05,88.73429168,#
,005C,19.79166667,36.33333333,13.734375,9.1,12.74,93.69929168,#
,006D,13.125,35.5,13.171875,9.7,11.7,85.11345834,#
,007F,13.125,34.23333333,14.0625,9,12.48,84.8175,#
,005E,10,36.25,11.25,9.7,12.74,81.93991668,#
,005C,3.125,0,6.890625,0,4.42,16.35220834,#
,002H,16.66666667,31.21666667,12.5625,7.92,12.48,82.84575001,#
,005F,11.875,27.16666667,12.9375,8.07,10.92,72.88575001,#
,006D,16.45833333,31.83333333,13.734375,9.7,12.22,85.94595834,#
,002E,19.79166667,35.8,14.25,8.71,10.92,91.47158334,#
,002H,19.375,37.25333333,14.4375,8.5,13,94.56575001,#
,005E,16.45833333,34.75,12.1875,9.5,12.09,86.98575001,#
,005C,13.75,24.58333333,9.65625,8.7,8.71,67.39950001,#
,006E,16.04166667,35.33333333,13.5,8.8,12.22,87.89491668,#
,007F,9.583333333,30.5,9.5625,8.6,10.4,70.64583333,#
,002E,17.29166667,34.46666667,13.21875,8.8,11.18,86.87366668,#
,002G,16.45833333,37.26666667,13.59375,9.4,12.22,90.93866668,#
,005E,11.25,24.98333333,10.125,9.4,12.09,69.84825001,#
,002E,11.875,33.45,13.125,8.93,10.14,79.51991668,#
,005D,15.83333333,33.66666667,11.4375,8.8,12.48,84.21741668,#
,005D,15.625,34.66666667,12.9375,9,13,87.22908334,#
,006D,13.125,33,14.4375,9.6,13,85.12075001,#
,002F,18.95833333,37.92,12.9375,8.86,13,93.67575001,#
,003D,16.875,35.33333333,14.625,9.2,11.7,89.73325001,#
,001C,10.20833333,28.16666667,12.75,8,12.22,73.17825001,#
,005C,16.04166667,40,14.203125,9.3,12.35,93.89470834,#
,006D,12.29166667,30.83333333,13.6875,9.6,12.09,80.16908334,#
