Username,SECTION #'S Text Grade <Text>,PRELAB,PROJECT REPORTS,PROJECT PROPOSALS,ORAL PRESENTATION,INSTRUCTOR LAB PERFORMANCE EVALUATION,Calculated Final Grade,End-of-Line Indicator
,002B,19.58333333,32.5,14.015625,9.5,12.22,89.81887501,#
,007B,6.875,21.5,10.6875,9.4,13,63.46241668,#
,004C,19.58333333,32.83333333,13.40625,9.95,10.4,88.17283334,#
,001A,14.58333333,30.46333333,12.09375,8.528,11.31,78.97833334,#
,007A,11.875,21.66666667,12.09375,9,11.83,71.84033334,#
,002A,11.45833333,20.16666667,12.890625,8.5,11.96,66.97554168,#
,004A,17.5,33.33333333,14.4375,8.4,12.74,88.41075001,#
,006B,18.125,37.56666667,12.890625,9,11.7,91.28220834,#
,003A,19.16666667,38.16666667,11.53125,9.3,13,93.08116668,#
,002C,13.95833333,34.83333333,13.21875,8.4,12.22,84.63033334,#
,007B,19.79166667,35.5,13.40625,8.7,13,92.39783334,#
,004C,18.95833333,39.66666667,14.625,8.95,11.44,95.63991668,#
,005A,18.33333333,37.66666667,14.4375,9.2,12.935,94.57241668,#
,002A,17.29166667,35.91666667,13.5,8.2,11.7,88.60825001,#
,002B,17.5,33.28333333,13.546875,9,12.48,87.81012501,#
,002A,19.375,34.73333333,13.828125,8.7,12.48,91.11637501,#
,007D,16.25,37.33333333,14.4375,9.4,12.61,92.03075001,#
,004E,16.875,38.08333333,13.875,8.42,9.88,89.09158334,#
,003A,14.79166667,31.33333333,11.8125,9.4,12.48,81.81741668,#
,004A,17.70833333,36.5,14.625,9.3,13,93.13325001,#
,004A,18.54166667,35.66666667,13.59375,8.6,12.74,91.14200001,#
,004C,19.79166667,35.06666667,13.453125,8.82,10.92,90.05137501,#
,004E,19.375,32,12.9375,7.95,8.84,83.10241668,#
,003A,16.04166667,32,13.40625,9.4,12.48,85.28616668,#
,007B,16.04166667,33.66666667,13.21875,8.7,11.44,85.02533334,#
,004A,19.58333333,37.5,14.25,9.3,12.74,95.37325001,#
,006B,7.291666667,34.83333333,13.03125,9.5,11.83,78.48616668,#
,004E,18.75,35.83333333,13.640625,8.44,10.4,89.06387501,#
,004A,16.66666667,38.66666667,13.40625,8.4,12.74,91.83783334,#
,002C,17.91666667,37.08333333,13.125,9.7,12.22,92.00325001,#
,007B,10.83333333,27.33333333,13.3125,8.7,11.05,73.22908334,#
,004E,18.54166667,35.08333333,14.0625,9.18,10.79,89.65741668,#
,003B,18.54166667,36.36,13.640625,9.2,12.48,92.18054168,#
,003A,14.79166667,37.5,12.75,9.3,13,89.34166667,#
,003A,16.66666667,37,14.15625,9.1,13,91.92283334,#
,004C,11.45833333,25.75,10.828125,8.46,10.66,69.07304168,#
,006B,15.625,29.53333333,11.953125,9.3,11.18,79.59137501,#
,002A,19.16666667,34.68333333,13.59375,8.9,11.96,90.26200001,#
,002A,20,34,13.6875,8.7,12.48,90.86741668,#
,002D,15.83333333,32.55,11.671875,8.45,12.48,82.98512501,#
,004D,17.5,37,13.78125,9.4,13,92.68116668,#
,001B,18.125,34.1,13.078125,8.9,12.285,88.238125,#
,005A,18.54166667,37,13.875,9.2,12.935,93.50991668,#
,002B,15.41666667,32.16666667,13.640625,9.5,12.09,84.64720834,#
,002B,15.41666667,29.33333333,10.640625,8,11.18,76.57054168,#
,003C,1.458333333,25.5,11.53125,9.504,11.44,61.26683334,#
,003B,17.5,32.74333333,13.359375,8.5,11.7,85.80262501,#
,006B,14.16666667,33.83333333,12.46875,9.5,11.18,83.14866668,#
,003B,17.29166667,28.69333333,12.403125,8.6,12.48,81.46804168,#
,007D,5.208333333,35.16666667,9.28125,9,12.116,72.77216668,#
,007A,17.70833333,35.83333333,13.6875,9.5,12.61,91.33908334,#
,004D,15.625,36,13.59375,9,13,89.21866668,#
,005A,12.08333333,32.66666667,12.9375,8.2,12.935,80.78075001,#
,004C,19.58333333,32.1,12.5625,8.01,10.27,84.52575001,#
,005A,15.625,33,14.34375,8.5,12.74,86.20866668,#
,006B,5,27.96666667,9.09375,9,10.79,63.76700001,#
,005A,18.54166667,36.5,13.78125,8.2,12.675,91.69783334,#
,006B,17.70833333,36.83333333,13.546875,9.5,11.83,91.41845834,#
,002A,18.33333333,34.66666667,13.96875,9,13,90.96866668,#
,004D,18.54166667,34.16666667,14.625,9,13,91.24991668,#
,004B,16.25,32.66666667,10.6875,8.6,11.96,81.99741668,#
,006C,16.45833333,30.33333333,12.609375,8.17,11.44,81.01095834,#
,007A,17.5,36.16666667,13.125,8.7,12.61,90.10158334,#
,004B,19.79166667,33.63333333,10.875,8.6,12.09,86.94825001,#
,005A,12.70833333,30.83333333,8.8125,8,12.935,75.28908334,#
,006A,13.95833333,14.47233333,11.671875,9.5,11.7,63.30245834,#
,003C,16.875,34.33333333,14.0625,9.58,11.388,88.23875001,#
,004D,17.08333333,33,13.125,9,12.22,86.42825001,#
,005A,17.70833333,37.83333333,14.71875,8.6,12.935,93.71200001,#
,003C,18.125,34.73333333,13.528125,9.24,12.558,90.18437501,#
,007A,19.79166667,37.66666667,13.5,9.5,12.61,95.02658334,#
,004A,15.41666667,37,13.59375,8.6,13,89.52700001,#
,004E,17.29166667,37.41666667,14.15625,8.45,10.92,90.23450001,#
,003C,19.375,35.46666667,13.798125,9.28,11.18,91.09970834,#
,004A,17.91666667,34.83333333,14.25,8.1,12.74,89.83991668,#
,002B,15.41666667,28.11666667,13.5,8.9,11.96,79.89325001,#
,004D,18.125,39,14.8125,9.4,13,96.33741668,#
,004E,17.5,36,13.875,8.45,11.44,89.26491668,#
,002D,15.83333333,32.01666667,13.453125,8.4,12.48,84.18304168,#
,003A,15.83333333,34.66666667,12.65625,9.4,12.48,87.03616668,#
,002A,18.33333333,33,13.78125,9,12.48,88.59450001,#
,004E,17.91666667,35.83333333,13.734375,8.46,11.44,89.30095834,#
,002C,16.875,34.5,12.515625,9.55,12.22,87.61887501,#
,002A,15,33.83333333,12.328125,8.4,11.44,83.00137501,#
,001B,19.16666667,31,11.859375,8.04,11.44,83.42270833,#
,004B,18.95833333,33.6,11.71875,8.6,11.96,86.83700001,#
,007B,19.375,35,13.96875,8.7,12.22,91.26366668,#
,006B,13.75,24.33333333,10.921875,9.1,11.05,71.15512501,#
,002D,15.83333333,32.5,10.734375,8.25,11.96,81.19429168,#
,002A,18.125,36.58333333,14.0625,9.3,13,93.07075001,#
,002A,17.91666667,35.41666667,13.78125,9.3,13,91.41450001,#
,007B,13.95833333,29.33333333,12.1875,8,12.22,77.69908334,#
,002B,17.5,33.08333333,11.53125,9.5,12.22,85.79283334,#
,007A,16.45833333,31.66666667,13.3125,9,12.48,84.91741668,#
,003C,14.375,38.33333333,13.96875,9.4,13,91.03533334,#
,001B,18.95833333,33.86666667,12.84375,8.9,12.545,89.07208333,#
,001A,12.29166667,25.36,12.140625,8.879,11.57,72.07454168,#
,004F,8.333333333,22.33333333,12.5625,0,11.7,56.76241668,#
,004D,15.83333333,35.83333333,12.375,9,13,88.04158334,#
,003B,19.58333333,35.52666667,12.84375,8.85,12.22,91.02366668,#
,006B,19.375,37.33333333,13.546875,9.5,11.83,93.58512501,#
,005A,19.16666667,36,14.15625,9.2,12.935,93.37450001,#
,004E,15.41666667,36.83333333,14.578125,8.4,11.44,88.66804168,#
,003A,12.70833333,27.83333333,12.5625,9.3,13,77.32075001,#
,002C,16.66666667,34.5,13.078125,9.55,12.22,87.93137501,#
,006A,15.625,28.93433333,11.578125,8.46,11.44,77.99570834,#
,007A,15.20833333,32.83333333,13.21875,8.7,11.882,83.84233334,#
,004C,17.70833333,29,10.265625,8.95,10.66,78.50054168,#
,003B,19.375,33.89,12.65625,8.85,11.44,88.21116668,#
,001A,13.75,30.24,13.21875,9.535,11.7,80.44366668,#
,006C,15,33.3,12.375,9,12.22,83.85325001,#
,003B,10,25.86666667,11.296875,3,10.92,63.08345834,#
,004F,17.29166667,35.66666667,13.5,9,13,90.45825001,#
,007D,13.33333333,35.5,8.90625,8.9,12.116,80.75550001,#
,004F,13.125,31.83333333,14.25,9,13,83.20825001,#
,002A,13.125,29.75,13.3125,9,12.48,79.66741668,#
,004C,19.16666667,35.16666667,13.96875,8.85,11.7,90.85200001,#
,002B,17.91666667,35.66666667,14.25,9,12.48,91.31325001,#
,001A,19.16666667,36.80666667,13.734375,9.679,12.22,93.60662501,#
,007A,16.04166667,34,13.875,9.5,12.48,87.89658334,#
,007B,18.95833333,26.83333333,11.625,8,12.48,79.85491668,#
,001A,18.125,36.33333333,13.40625,9.473,12.35,91.64583334,#
,006B,7.5,31,11.765625,9.3,10.92,72.40220834,#
,006A,13.75,27.91666667,13.3125,9.75,11.96,78.64741668,#
,005A,14.58333333,29.5,13.125,8.5,12.935,80.60158334,#
,006B,18.54166667,35.66666667,12.515625,9,11.7,89.25720834,#
,003B,18.75,36.58333333,13.734375,9.2,12.22,92.44595834,#
,004E,16.45833333,33.66666667,14.15625,8.43,9.62,84.33116668,#
,006A,18.125,30.16666667,12.046875,9.8,11.96,84.09845834,#
,004C,18.125,24.46666667,10.125,7.91,10.66,73.28658334,#
,001A,18.95833333,33.47333333,12.65625,9.783,12.48,89.35083334,#
,001B,17.91666667,38.41666667,14.53125,9.5,12.285,94.56625,#
,004B,16.875,32.5,11.15625,8.6,12.09,83.22116668,#
,003A,13.54166667,36.5,12.84375,9.5,13,87.38533334,#
,004B,18.54166667,33.26666667,12.5625,8.6,11.96,86.93075001,#
,004E,15.20833333,31,13.40625,8.3,10.4,80.31450001,#
,006A,18.33333333,34,13.921875,9.56,11.44,89.25512501,#
,004B,16.25,16.3,10.96875,8.49,11.18,65.18866668,#
,007B,18.75,33.66666667,13.96875,8.7,13,90.04366668,#
,007B,13.54166667,25,9.46875,7.3,9.36,66.58700001,#
,001A,17.70833333,33.77666667,13.125,9.679,12.48,88.64391668,#
,006C,12.08333333,28.66666667,10.3125,8.21,10.92,72.06741668,#
,003B,16.875,34.36,13.171875,9.2,11.96,87.48345834,#
,004D,17.70833333,37.66666667,14.71875,9.2,12.22,93.51366668,#
,004B,18.75,38,13.6875,9,12.558,93.95375001,#
,002C,16.875,33.66666667,13.96875,9.7,12.22,88.43033334,#
,001A,5,23.39333333,7.59375,7.952,11.18,57.03566668,#
,007B,15,32.66666667,13.875,8.6,13,85.09991668,#
,004F,17.08333333,36.33333333,13.875,9.5,13,91.79158334,#
,004E,19.375,33.33333333,12.28125,7.95,8.71,83.64950001,#
,004B,17.91666667,30.13333333,11.578125,8.79,11.83,82.20637501,#
,005A,13.75,27,9.28125,8,12.935,72.88283334,#
,003B,10.20833333,24.92,11.5125,6.92,11.96,67.52075001,#
,001B,18.95833333,36,13.21875,8.8,11.635,90.61208333,#
,004E,19.79166667,34,12.84375,7.95,10.66,87.24533334,#
,002A,18.95833333,37.83333333,14.15625,9.3,13,95.24783334,#
,002D,18.54166667,35.02666667,13.640625,8.4,12.74,90.26554168,#
,002C,8.333333333,9.133333333,13.359375,9.3,12.87,54.82929168,#
,002C,17.70833333,33.66666667,13.125,8.4,12.22,87.03658334,#
,006A,15.20833333,28.58333333,12.703125,9.8,12.22,80.51470834,#
,001A,17.5,36.53,13.359375,9.783,12.61,91.78229168,#
,004C,15.83333333,38.33333333,14.625,9.2,11.05,91.04158334,#
,002B,10.20833333,24.65,12.890625,8.9,12.09,70.65554168,#
,004C,19.58333333,33.83333333,13.3125,8.72,10.92,88.36908334,#
,003A,19.16666667,33.5,12.84375,9.4,12.48,89.39033334,#
,005A,12.5,30.33333333,12.75,8.6,12.935,79.11825001,#
,004D,15.41666667,36.83333333,13.875,9.3,13,90.42491668,#
,006A,17.08333333,29.16666667,13.734375,8.46,12.74,83.14262501,#
,005A,13.95833333,18.16666667,5.4375,8,12.935,60.49741668,#
,004B,17.91666667,28.96666667,11.953125,8.79,11.83,81.45637501,#
,006C,18.33333333,34,13.5,8.9,12.22,88.82825001,#
,005A,13.54166667,20.16666667,10.5,8.2,12.935,67.34325001,#
,004B,18.33333333,33,12.5625,8.65,12.558,87.02041668,#
,004E,18.75,30.66666667,12.1875,7.82,11.18,82.56241668,#
,003A,15.41666667,33.66666667,12.9375,9.5,12.74,86.26075001,#
,005A,15,22.83333333,8.25,8,12.805,68.88825001,#
,002C,17.70833333,36.25,12.84375,8.4,12.22,89.42200001,#
,006B,1.458333333,29.36666667,7.6875,9.4,11.05,59.62916667,#
,007A,16.875,24.33333333,12.75,9.2,12.61,77.68491668,#
,001A,19.79166667,37.19333333,14.296875,9.679,12.22,95.18079168,#
,004E,17.5,33.25,13.171875,8.3,11.96,86.14012501,#
,002A,14.58333333,34.16666667,12.84375,8.2,12.74,84.53366668,#
,006B,12.91666667,33.83333333,11.71875,9.1,11.05,80.57700001,#
,004E,18.95833333,37.83333333,14.25,8.44,9.62,91.01825001,#
,004F,18.54166667,37.66666667,12.375,9.25,13,92.83325001,#
,001A,19.79166667,37.47333333,13.171875,9.783,12.48,94.69979168,#
,003C,7.083333333,37.83333333,10.359375,9.37,9.594,76.07329168,#
,001B,17.91666667,35.9,13.96875,9.4,12.22,91.40541667,#
,004C,17.29166667,22.1,12.65625,7.95,11.05,72.96450001,#
,002A,18.75,34,13.5,8.4,12.48,89.12991668,#
,004F,16.04166667,32.16666667,14.625,9,13,86.66658334,#
,003C,3.75,22.66666667,12.1875,9.504,11.05,60.49141668,#
,001A,6.875,12.98,8.953125,7.543,10.53,48.88104168,#
,004C,16.66666667,19.76666667,11.53125,8.88,10.79,69.63450001,#
,007D,12.70833333,32.5,13.6875,9,12.116,81.92841668,#
,002A,17.29166667,34.83333333,13.5,8.6,12.74,88.96491668,#
,003B,16.45833333,28.84,11.953125,8.36,11.7,79.22804168,#
,004C,19.16666667,34.16666667,12.1875,10,10.92,88.44075001,#
,003B,14.16666667,34.11,13.546875,9.2,11.96,84.98345834,#
,006C,8.125,27.26666667,10.2375,7.47,10.92,66.01908334,#
,003A,13.125,34.33333333,13.5,9.3,13,85.21658334,#
,004B,14.375,34,11.71875,8.5,11.96,82.38700001,#
,004E,18.125,36.91666667,14.203125,8.65,12.22,92.07304168,#
,003C,13.75,36.22333333,12.84375,9.44,11.83,85.92033334,#
,007D,12.70833333,36.5,11.90625,9.1,12.61,84.82450001,#
,004C,17.70833333,32.06666667,13.78125,9.08,10.27,84.90616668,#
,002B,16.25,34.41666667,13.171875,8.9,12.09,86.74512501,#
,003C,4.166666667,21.5,11.25,9.504,12.22,60.59891668,#
,001A,19.16666667,34.89,13.078125,8.012,11.57,88.67504168,#
,004A,17.29166667,34.83333333,13.125,9.3,12.74,89.28991668,#
,003A,19.16666667,38,14.53125,9.1,13,95.75616668,#
,003A,18.95833333,38.16666667,14.71875,9.5,13,96.34366668,#
,006B,7.916666667,36.73333333,13.03125,9,11.44,79.95450001,#
,002C,17.5,35.33333333,13.875,9.7,12.22,90.62825001,#
,003C,16.66666667,30.83333333,12.375,9.21,12.61,83.61158334,#
,006C,15.625,32.66666667,10.875,9,11.7,81.86658334,#
,002D,18.33333333,37.33333333,14.203125,8.55,12.22,92.63970834,#
,005A,11.45833333,24.33333333,10.3125,8.5,12.74,69.17741668,#
,004D,17.29166667,35.55333333,13.21875,9,12.22,89.28366668,#
,003C,18.33333333,33.66666667,12.02625,9.19,12.298,87.51416668,#
,001B,14.16666667,30,11.34375,8.74,10.79,76.95708333,#
,002A,18.95833333,34.5,13.78125,8.7,10.92,88.81783334,#
,002C,17.5,35.08333333,12.046875,9.55,12.22,88.40012501,#
,001B,14.79166667,24.43333333,14.15625,9.4,12.545,77.32625,#
,007D,11.66666667,31,12.9375,9,12.61,79.17241668,#
,007B,10,21.66666667,12,8.6,10.01,64.23491668,#
,002C,18.54166667,36.91666667,13.78125,9.7,12.22,93.11783334,#
,004C,17.70833333,27.66666667,13.125,10,10.92,81.37825001,#
,003B,9.583333333,28.50666667,12.890625,8.8,11.18,72.87720834,#
,005A,15.41666667,33,14.25,8.6,12.935,86.20158334,#
,003A,16.875,34.66666667,12.5625,9.1,13,87.74575001,#
,006A,16.04166667,24.83333333,9.984375,8.46,12.22,73.53929168,#
,001A,18.95833333,38.08333333,14.203125,9.679,12.74,95.62204168,#
,002C,18.95833333,37.16666667,13.875,9.7,12.22,93.91991668,#
,003B,17.08333333,30.25,11.859375,8.8,10.92,80.91262501,#
,006C,16.45833333,26,11.4375,7.28,12.22,75.39575001,#
,001A,15.41666667,33.61,13.6875,9.337,12.74,86.79108334,#
,006C,7.708333333,21.8,5.8125,8.2,12.22,57.74075001,#
,001B,17.70833333,33.3,11.71875,8.04,12.22,84.98708333,#
,004C,17.91666667,16.46666667,7.3125,6.48,10.01,60.14408334,#
,001B,19.16666667,37.26666667,14.296875,9.4,12.22,94.30854167,#
,002B,16.875,27.75,11.34375,8,11.18,77.06533334,#
,001A,17.70833333,36.78666667,13.875,9.557,12.61,92.53691668,#
,006A,19.375,27.83333333,13.734375,8.46,12.22,83.49762501,#
,004B,18.54166667,34,11.34375,8.6,11.96,86.44533334,#
,006A,10.83333333,26.36233333,13.453125,10,11.44,74.08870834,#
,004E,18.75,32.91666667,14.15625,9.18,10.92,87.92283334,#
,002C,16.25,34.5,13.3125,9.7,12.22,87.98241668,#
,002A,15.83333333,33.5,12.5625,8.9,7.8,80.51241668,#
,002C,19.375,35.41666667,14.0625,8.6,12.09,91.54408334,#
,002C,17.29166667,33.91666667,13.78125,8.6,12.22,87.72616668,#
,002D,16.25,34.91666667,13.875,8.92,12.74,88.70158334,#
,001A,10,14.35333333,13.21875,8.461,10.4,58.34966668,#
,004C,16.66666667,32,14.15625,9.17,11.05,85.00116668,#
,002C,18.75,36.08333333,14.53125,8.6,12.22,92.18450001,#
,007A,17.70833333,33.4,12.9375,9,11.882,86.92775001,#
,001A,14.375,31.56333333,13.546875,8.012,11.31,80.72379168,#
,005A,17.08333333,36.5,13.21875,8.2,12.935,89.85366668,#
,003B,13.95833333,34.75,13.3125,8.8,11.7,84.47908334,#
,004C,15.625,25.18333333,11.15625,7.31,10.27,71.46116668,#
,002C,5,14.66666667,10.875,6.5,10.66,49.70158334,#
,002A,12.5,30.25,12.140625,8.2,11.44,76.53054168,#
,003A,12.29166667,25.16666667,9.9375,8.5,10.4,66.9625,#
,006C,15.20833333,28.66666667,12.28125,7.51,10.92,76.58616668,#
,007D,16.04166667,34,13.3125,9,12.61,86.96408334,#
